Ah, got you. You mean **services specifically as background programs**, not general OS functions.

 Here are broader examples of **OS/system services**:

 - 🌐 **Network service** — maintains network connections and configuration.
- 📡 **DHCP service** — automatically gives your computer an IP address.
- 🔎 **DNS service** — helps translate domain names like `google.com` into IP addresses.
- 🖨️ **Print Spooler service** — manages print jobs.
- 🔄 **Update service** — checks for and installs OS updates.
- 🛡️ **Antivirus/security service** — continuously monitors for threats.
- 🔐 **Authentication service** — verifies users when they log in.
- 🕐 **Time synchronization service** — keeps the system clock synchronized with an internet time server.
- 📂 **File-sharing service** — allows other computers/users to access shared files.
- 💾 **Backup service** — performs scheduled backups in the background.
- 🔊 **Audio service** — manages audio input/output for applications.
- 📶 **Bluetooth service** — manages Bluetooth connections and devices.
- 🔍 **Search/indexing service** — indexes files so searches can be performed quickly.
- 🔋 **Power management service** — manages things like sleep, battery usage, and power settings.
- 📝 **Logging service** — collects and stores system/application events.
- 📬 **Email service** — can run in the background to handle mail-related operations.
- 🗄️ **Database service** — a database server can run continuously in the background and respond to application requests.
- 🌍 **Web server service** — runs continuously and responds to web requests.
- 🔑 **Credential/key management service** — manages stored passwords, keys, or authentication credentials.

 ### The common idea

 All of these follow roughly:

 **Service starts → runs in background → waits/works → provides a function → other programs/users can use it**

 For example:

```
Browser
   ↓
DNS Service → finds IP address
   ↓
Network Service → sends data
   ↓
Internet
```

 So yes, **network, connection, security, updates, audio, Bluetooth, backup, file sharing, etc. can all be services** when implemented as background system services.


 Yes. **At the implementation level, a running service has one or more processes behind it.**

 For example:

```
DNS Service        → DNS process
Print Service      → Print process
Update Service     → Update process
Bluetooth Service  → Bluetooth process
Network Service    → Network-related process(es)
Backup Service     → Backup process
```

 But remember the distinction:

 - **Process** = the actual running execution of a program.
- **Service** = the background function being provided.

 So you can have:

 **Service → implemented by → Process(es)**

 And you can also have:

 **Process → running an ordinary application → not a service**

 Example:

 **Calculator app → process → not a service**

 That's the key difference.



 C:\Users\marsh>tasklist

Image Name                     PID Session Name        Session#    Mem Usage
WUDFHost.exe                  4064 Services                   0     12,172 K
svchost.exe                   3824 Services                   0      9,308 K
svchost.exe                   3780 Services                   0      7,844 K
svchost.exe                   4104 Services                   0     22,292 K
svchost.exe                   4112 Services                   0     11,372 K
Memory Compression            4280 Services                   0  1,148,272 K
svchost.exe                   4372 Services                   0     12,920 K
WUDFHost.exe                  4444 Services                   0     10,264 K
svchost.exe                   4452 Services                   0     12,288 K
svchost.exe                   4460 Services                   0     13,352 K
svchost.exe                   4628 Services                   0     29,660 K
WUDFHost.exe                  4648 Services                   0      8,580 K
svchost.exe                   4700 Services                   0     14,136 K
svchost.exe                   4972 Services                   0     10,692 K
svchost.exe                   5036 Services                   0     26,548 K
AsusOptimization.exe          5064 Services                   0     18,280 K
svchost.exe                   5072 Services                   0     25,940 K
spoolsv.exe                   5180 Services                   0     33,740 K
svchost.exe                   5188 Services                   0     37,008 K
svchost.exe                   5272 Services                   0     25,224 K
svchost.exe                   5348 Services                   0     11,424 K
svchost.exe                   5400 Services                   0     15,904 K
svchost.exe                   5520 Services                   0     12,264 K
svchost.exe                   5552 Services                   0     11,556 K
AsusSoftwareManager.exe       5592 Services                   0     24,868 K
AsusScreenXpertHostServic     5600 Services                   0     28,724 K
AsusAppService.exe            5608 Services                   0     30,784 K
AsusPTPService.exe            5616 Services                   0     10,764 K
AsusSwitch.exe                5620 Services                   0     12,172 K
AsusSystemDiagnosis.exe       5636 Services                   0     15,400 K
svchost.exe                   5648 Services                   0     72,724 K
AsusSystemAnalysis.exe        5644 Services                   0     22,992 K
DAX3API.exe                   5660 Services                   0     24,264 K
svchost.exe                   5684 Services                   0     48,084 K
GlideXNearService.exe         5700 Services                   0     20,376 K
GlideXRemoteService.exe       5748 Services                   0     17,136 K
svchost.exe                   5756 Services                   0     17,160 K
GlideXService.exe             5800 Services                   0     25,120 K
GlideXServiceExt.exe          5896 Services                   0     20,872 K
svchost.exe                   5948 Services                   0     18,152 K
StoryCubeService.exe          6040 Services                   0     22,236 K
MpDefenderCoreService.exe     6064 Services                   0     29,580 K
svchost.exe                   6124 Services                   0     14,320 K
MsMpEng.exe                   5128 Services                   0    298,512 K
svchost.exe                   5308 Services                   0     27,172 K
svchost.exe                   1888 Services                   0     37,624 K
wslservice.exe                5924 Services                   0     37,988 K
svchost.exe                   6348 Services                   0     14,480 K
NgcIso.exe                    6476 Services                   0      4,664 K
svchost.exe                   7052 Services                   0     14,116 K
svchost.exe                   7380 Services                   0     11,660 K
svchost.exe                   7516 Services                   0     33,936 K
svchost.exe                   7812 Services                   0     40,516 K
AggregatorHost.exe            8272 Services                   0     24,732 K
WmiPrvSE.exe                  8280 Services                   0     16,752 K
svchost.exe                   8524 Services                   0     10,704 K
svchost.exe                   8804 Services                   0     39,656 K
svchost.exe                   6096 Services                   0     31,868 K
svchost.exe                   9888 Services                   0      9,064 K
WorkloadsSessionManager.e     9060 Services                   0     22,336 K
WorkloadsSessionHost.exe      9532 Services                   0     82,584 K
WorkloadsSessionHost.exe      9856 Services                   0     46,828 K
NisSrv.exe                    8928 Services                   0     15,632 K
WorkloadsSessionHost.exe     10308 Services                   0    133,112 K
svchost.exe                   4148 Services                   0     18,252 K
svchost.exe                   4408 Services                   0     24,580 K
svchost.exe                  10304 Services                   0     35,140 K
svchost.exe                   4044 Services                   0     15,108 K
svchost.exe                  10796 Services                   0     32,948 K
svchost.exe                  12588 Services                   0     24,928 K
SecurityHealthService.exe     2444 Services                   0     31,008 K
unsecapp.exe                 13248 Services                   0     13,344 K
svchost.exe                   9104 Services                   0     30,776 K
svchost.exe                  12104 Services                   0     24,064 K
svchost.exe                   2544 Services                   0     21,216 K
svchost.exe                  15468 Services                   0     13,624 K
svchost.exe                  15560 Services                   0     26,344 K
svchost.exe                  15628 Services                   0     16,308 K
svchost.exe                  15956 Services                   0     64,112 K
vmcompute.exe                 6928 Services                   0     19,468 K
WorkloadsSessionHost.exe      2668 Services                   0    379,080 K
WorkloadsSessionHost.exe      7280 Services                   0     24,660 K
svchost.exe                   4840 Services                   0     12,620 K
svchost.exe                  15804 Services                   0     10,880 K
svchost.exe                  18076 Services                   0     11,572 K
svchost.exe                  18380 Services                   0     20,728 K
csrss.exe                     4188 Console                    2     60,212 K
winlogon.exe                 11012 Console                    2     22,604 K
fontdrvhost.exe               4052 Console                    2     16,532 K
dwm.exe                      18308 Console                    2    138,400 K
sihost.exe                   17596 Console                    2     61,808 K
svchost.exe                   4988 Console                    2     42,124 K
svchost.exe                  16040 Console                    2     14,568 K
svchost.exe                   6416 Console                    2     54,744 K
taskhostw.exe                11600 Console                    2     23,028 K
explorer.exe                  5252 Console                    2    301,252 K
ShellHost.exe                11664 Console                    2     53,792 K
CrossDeviceResume.exe        18372 Console                    2     50,340 K
AIXHost.exe                  11192 Console                    2     58,184 K
ClickToDo.exe                17736 Console                    2     79,008 K
aihost.exe                    7872 Console                    2     27,696 K
svchost.exe                  14036 Console                    2     34,416 K
WorkloadsSessionHost.exe     17772 Services                   0    102,620 K
SearchHost.exe                1032 Console                    2    163,132 K
StartMenuExperienceHost.e     9936 Console                    2    166,340 K
WidgetBoard.exe              17084 Console                    2     39,664 K
RuntimeBroker.exe             1700 Console                    2     83,804 K
svchost.exe                    980 Console                    2     43,280 K
msedgewebview2.exe            3876 Console                    2    134,660 K
msedgewebview2.exe           13120 Console                    2     15,100 K
WorkloadsSessionHost.exe     13280 Services                   0     62,816 K
msedgewebview2.exe           13480 Console                    2     47,196 K
msedgewebview2.exe           18248 Console                    2    135,372 K
msedgewebview2.exe           13088 Console                    2     22,896 K
msedgewebview2.exe           15048 Console                    2    150,244 K
WidgetService.exe             4532 Console                    2     33,960 K
MicrosoftStartFeedProvide    12772 Console                    2     47,292 K
brave.exe                     9212 Console                    2    228,560 K
brave.exe                    13580 Console                    2     11,196 K
brave.exe                    10520 Console                    2    214,500 K
brave.exe                    11120 Console                    2     52,092 K
brave.exe                    11432 Console                    2     23,520 K
ctfmon.exe                   13012 Console                    2     41,020 K
SecurityHealthSystray.exe    12980 Console                    2     15,676 K
brave.exe                    16564 Console                    2     83,884 K
AppleMobileDeviceLauncher    17972 Console                    2     15,540 K
AppleMobileDeviceProcess.     9648 Console                    2     21,372 K
DefenderSessionHelper.exe    13992 Console                    2      8,228 K
DAX3API.exe                  15484 Console                    2     17,776 K
AsusOptimizationStartupTa    17580 Console                    2     25,004 K
AsusHotkey.exe                6884 Console                    2     10,764 K
AsusScreenXpertUI.exe        14584 Console                    2     20,908 K
AsusOLEDShifter.exe           7268 Console                    2     16,276 K
AsusTargetMode.exe           14496 Console                    2     24,552 K
brave.exe                    16304 Console                    2     82,520 K
brave.exe                     3644 Console                    2     89,108 K
brave.exe                     6964 Console                    2     25,488 K
brave.exe                    15308 Console                    2     45,664 K
svchost.exe                  16356 Console                    2     25,292 K
AsusSoftwareManagerAgent.     3292 Console                    2     51,852 K
AsusOSD.exe                  15832 Console                    2     25,940 K
svchost.exe                  17072 Services                   0     33,312 K
BraveCrashHandler.exe        12392 Console                    2      3,196 K
BraveCrashHandlerArm64.ex     6468 Console                    2      1,744 K
OneDrive.Sync.Service.exe     9700 Console                    2     12,520 K
WmiPrvSE.exe                  6236 Services                   0     54,280 K
OfficeClickToRun.exe         11616 Services                   0     72,296 K
AppVShNotify.exe             17848 Console                    2     12,500 K
SearchIndexer.exe              704 Services                   0     54,624 K
LockApp.exe                  13836 Console                    2    178,872 K
RuntimeBroker.exe            17976 Console                    2     52,532 K
ShellExperienceHost.exe      11980 Console                    2     84,752 K
RuntimeBroker.exe             9176 Console                    2     28,828 K
brave.exe                    12664 Console                    2    444,776 K
MobaXterm_Personal_26.4.e     9152 Console                    2     66,284 K
brave.exe                     4164 Console                    2     70,948 K
XWin_MobaX.exe                3472 Console                    2     24,064 K
MoTTY.exe                    15476 Console                    2     28,676 K
wsl.exe                      12348 Console                    2      9,608 K
conhost.exe                  17884 Console                    2      9,448 K
wsl.exe                      14360 Console                    2     14,984 K
vmwp.exe                     13128 Services                   0     34,356 K
vmmemWSL                      1836 Services                   0    850,868 K
dllhost.exe                  13396 Console                    2     13,504 K
dllhost.exe                   9356 Console                    2     13,836 K
wslrelay.exe                  7828 Console                    2     12,480 K
wslhost.exe                  17668 Console                    2     14,956 K
conhost.exe                   9584 Console                    2     12,040 K
wslhost.exe                  10960 Console                    2     14,876 K
conhost.exe                  13640 Console                    2     12,024 K
wslhost.exe                   5088 Console                    2     14,120 K
conhost.exe                  13068 Console                    2     12,056 K
MoNotificationUx.exe         15888 Console                    2     16,120 K
Code.exe                      9696 Console                    2    132,064 K
Code.exe                      9268 Console                    2     34,268 K
Code.exe                      2036 Console                    2    177,512 K
Code.exe                      5980 Console                    2     52,956 K
Code.exe                      3740 Console                    2    349,096 K
Code.exe                     16440 Console                    2    107,404 K
Code.exe                     17216 Console                    2     92,108 K
wsl.exe                      15660 Console                    2      9,604 K
conhost.exe                   4752 Console                    2      9,444 K
wsl.exe                       3500 Console                    2     14,912 K
wslhost.exe                  12532 Console                    2     14,100 K
conhost.exe                  11524 Console                    2     12,028 K
Code.exe                     13332 Console                    2    113,792 K
Code.exe                      4072 Console                    2     94,992 K
SDXHelper.exe                10568 Console                    2     32,128 K
MoTTY.exe                     8412 Console                    2     22,644 K
wsl.exe                       4396 Console                    2      9,616 K
conhost.exe                  10152 Console                    2      9,440 K
wsl.exe                       5584 Console                    2     14,900 K
wslhost.exe                  15576 Console                    2     14,144 K
conhost.exe                  16344 Console                    2     12,036 K
brave.exe                     8076 Console                    2    288,256 K
brave.exe                    12792 Console                    2    212,616 K
brave.exe                    16724 Console                    2     32,212 K
svchost.exe                  10088 Services                   0     15,888 K
CodeSetup-stable-645f29cc    12704 Console                    2     16,252 K
CodeSetup-stable-645f29cc     9000 Console                    2     40,480 K
svchost.exe                  16896 Console                    2     25,920 K
dllhost.exe                   7464 Console                    2     15,688 K
wsl.exe                       6560 Console                    2     10,272 K
conhost.exe                   9116 Console                    2     10,064 K
wsl.exe                      17692 Console                    2     16,336 K
wslhost.exe                  12908 Console                    2     15,376 K
conhost.exe                   4128 Console                    2     12,716 K
wsl.exe                      14764 Console                    2     10,504 K
conhost.exe                  12676 Console                    2     10,068 K
wsl.exe                      17412 Console                    2     16,328 K
wslhost.exe                  16328 Console                    2     15,368 K
conhost.exe                  14800 Console                    2     12,720 K
msrdc.exe                    14376 Console                    2     74,304 K
brave.exe                    16964 Console                    2     23,036 K
tor-0.4.9.11-win32-brave-     5508 Console                    2     92,624 K
conhost.exe                  12512 Console                    2     12,800 K
svchost.exe                   6308 Services                   0     12,676 K
smartscreen.exe               8020 Console                    2     16,188 K
mmc.exe                       5228 Console                    2     53,188 K
cmd.exe                      11680 Console                    2     10,864 K
conhost.exe                   9760 Console                    2     13,240 K
OpenConsole.exe              16884 Console                    2     24,072 K
WindowsTerminal.exe          10392 Console                    2    105,252 K
tasklist.exe                  6776 Console                    2     14,852 K
WmiPrvSE.exe                 14472 Services                   0     17,884 K

C:\Users\marsh>sc query

SERVICE_NAME: Appinfo
DISPLAY_NAME: Application Information
        TYPE               : 30  WIN32
        STATE              : 4  RUNNING
                                (STOPPABLE, NOT_PAUSABLE, IGNORES_SHUTDOWN)
        WIN32_EXIT_CODE    : 0  (0x0)
        SERVICE_EXIT_CODE  : 0  (0x0)
        CHECKPOINT         : 0x0
        WAIT_HINT          : 0x0

SERVICE_NAME: AsusAppService
DISPLAY_NAME: ASUS App Service
        TYPE               : 10  WIN32_OWN_PROCESS
        STATE              : 4  RUNNING
                                (STOPPABLE, NOT_PAUSABLE, ACCEPTS_SHUTDOWN)
        WIN32_EXIT_CODE    : 0  (0x0)
        SERVICE_EXIT_CODE  : 0  (0x0)
        CHECKPOINT         : 0x0
        WAIT_HINT          : 0x0

SERVICE_NAME: ASUSOptimization
DISPLAY_NAME: ASUS Optimization
        TYPE               : 10  WIN32_OWN_PROCESS
        STATE              : 4  RUNNING
                                (STOPPABLE, NOT_PAUSABLE, ACCEPTS_SHUTDOWN)
        WIN32_EXIT_CODE    : 0  (0x0)
        SERVICE_EXIT_CODE  : 0  (0x0)
        CHECKPOINT         : 0x0
        WAIT_HINT          : 0x0

SERVICE_NAME: AsusPTPService
DISPLAY_NAME: AsusPTPService
        TYPE               : 20  WIN32_SHARE_PROCESS
        STATE              : 4  RUNNING
                                (STOPPABLE, NOT_PAUSABLE, ACCEPTS_SHUTDOWN)
        WIN32_EXIT_CODE    : 0  (0x0)
        SERVICE_EXIT_CODE  : 0  (0x0)
        CHECKPOINT         : 0x0
        WAIT_HINT          : 0x0

SERVICE_NAME: AsusScreenXpertHostService
DISPLAY_NAME: ASUS ScreenXpert Host Service
        TYPE               : 10  WIN32_OWN_PROCESS
        STATE              : 4  RUNNING
                                (STOPPABLE, NOT_PAUSABLE, ACCEPTS_SHUTDOWN)
        WIN32_EXIT_CODE    : 0  (0x0)
        SERVICE_EXIT_CODE  : 0  (0x0)
        CHECKPOINT         : 0x0
        WAIT_HINT          : 0x0

SERVICE_NAME: ASUSSoftwareManager
DISPLAY_NAME: ASUS Software Manager
        TYPE               : 10  WIN32_OWN_PROCESS
        STATE              : 4  RUNNING
                                (STOPPABLE, NOT_PAUSABLE, ACCEPTS_SHUTDOWN)
        WIN32_EXIT_CODE    : 0  (0x0)
        SERVICE_EXIT_CODE  : 0  (0x0)
        CHECKPOINT         : 0x0
        WAIT_HINT          : 0x0

SERVICE_NAME: ASUSSwitch
DISPLAY_NAME: ASUS Switch
        TYPE               : 10  WIN32_OWN_PROCESS
        STATE              : 4  RUNNING
                                (STOPPABLE, NOT_PAUSABLE, ACCEPTS_SHUTDOWN)
        WIN32_EXIT_CODE    : 0  (0x0)
        SERVICE_EXIT_CODE  : 0  (0x0)
        CHECKPOINT         : 0x0
        WAIT_HINT          : 0x0

SERVICE_NAME: ASUSSystemAnalysis
DISPLAY_NAME: ASUS System Analysis
        TYPE               : 10  WIN32_OWN_PROCESS
        STATE              : 4  RUNNING
                                (STOPPABLE, NOT_PAUSABLE, ACCEPTS_PRESHUTDOWN)
        WIN32_EXIT_CODE    : 0  (0x0)
        SERVICE_EXIT_CODE  : 0  (0x0)
        CHECKPOINT         : 0x0
        WAIT_HINT          : 0x0

SERVICE_NAME: ASUSSystemDiagnosis
DISPLAY_NAME: ASUS System Diagnosis
        TYPE               : 10  WIN32_OWN_PROCESS
        STATE              : 4  RUNNING
                                (STOPPABLE, NOT_PAUSABLE, ACCEPTS_SHUTDOWN)
        WIN32_EXIT_CODE    : 0  (0x0)
        SERVICE_EXIT_CODE  : 0  (0x0)
        CHECKPOINT         : 0x0
        WAIT_HINT          : 0x0

SERVICE_NAME: AudioEndpointBuilder
DISPLAY_NAME: Windows Audio Endpoint Builder
        TYPE               : 30  WIN32
        STATE              : 4  RUNNING
                                (STOPPABLE, NOT_PAUSABLE, IGNORES_SHUTDOWN)
        WIN32_EXIT_CODE    : 0  (0x0)
        SERVICE_EXIT_CODE  : 0  (0x0)
        CHECKPOINT         : 0x0
        WAIT_HINT          : 0x0

SERVICE_NAME: Audiosrv
DISPLAY_NAME: Windows Audio
        TYPE               : 10  WIN32_OWN_PROCESS
        STATE              : 4  RUNNING
                                (STOPPABLE, NOT_PAUSABLE, IGNORES_SHUTDOWN)
        WIN32_EXIT_CODE    : 0  (0x0)
        SERVICE_EXIT_CODE  : 0  (0x0)
        CHECKPOINT         : 0x0
        WAIT_HINT          : 0x0

SERVICE_NAME: BDESVC
DISPLAY_NAME: BitLocker Drive Encryption Service
        TYPE               : 30  WIN32
        STATE              : 4  RUNNING
                                (STOPPABLE, NOT_PAUSABLE, IGNORES_SHUTDOWN)
        WIN32_EXIT_CODE    : 0  (0x0)
        SERVICE_EXIT_CODE  : 0  (0x0)
        CHECKPOINT         : 0x0
        WAIT_HINT          : 0x0

SERVICE_NAME: BFE
DISPLAY_NAME: Base Filtering Engine
        TYPE               : 20  WIN32_SHARE_PROCESS
        STATE              : 4  RUNNING
                                (STOPPABLE, NOT_PAUSABLE, IGNORES_SHUTDOWN)
        WIN32_EXIT_CODE    : 0  (0x0)
        SERVICE_EXIT_CODE  : 0  (0x0)
        CHECKPOINT         : 0x0
        WAIT_HINT          : 0x0

SERVICE_NAME: BrokerInfrastructure
DISPLAY_NAME: Background Tasks Infrastructure Service
        TYPE               : 20  WIN32_SHARE_PROCESS
        STATE              : 4  RUNNING
                                (NOT_STOPPABLE, NOT_PAUSABLE, IGNORES_SHUTDOWN)
        WIN32_EXIT_CODE    : 0  (0x0)
        SERVICE_EXIT_CODE  : 0  (0x0)
        CHECKPOINT         : 0x0
        WAIT_HINT          : 0x0

SERVICE_NAME: camsvc
DISPLAY_NAME: Capability Access Manager Service
        TYPE               : 30  WIN32
        STATE              : 4  RUNNING
                                (STOPPABLE, NOT_PAUSABLE, ACCEPTS_SHUTDOWN)
        WIN32_EXIT_CODE    : 0  (0x0)
        SERVICE_EXIT_CODE  : 0  (0x0)
        CHECKPOINT         : 0x0
        WAIT_HINT          : 0x0

SERVICE_NAME: CDPSvc
DISPLAY_NAME: Connected Devices Platform Service
        TYPE               : 30  WIN32
        STATE              : 4  RUNNING
                                (STOPPABLE, NOT_PAUSABLE, IGNORES_SHUTDOWN)
        WIN32_EXIT_CODE    : 0  (0x0)
        SERVICE_EXIT_CODE  : 0  (0x0)
        CHECKPOINT         : 0x0
        WAIT_HINT          : 0x0

SERVICE_NAME: ClickToRunSvc
DISPLAY_NAME: Microsoft Office Click-to-Run Service
        TYPE               : 10  WIN32_OWN_PROCESS
        STATE              : 4  RUNNING
                                (STOPPABLE, NOT_PAUSABLE, ACCEPTS_SHUTDOWN)
        WIN32_EXIT_CODE    : 0  (0x0)
        SERVICE_EXIT_CODE  : 0  (0x0)
        CHECKPOINT         : 0x0
        WAIT_HINT          : 0x0

SERVICE_NAME: CoreMessagingRegistrar
DISPLAY_NAME: CoreMessaging
        TYPE               : 20  WIN32_SHARE_PROCESS
        STATE              : 4  RUNNING
                                (NOT_STOPPABLE, NOT_PAUSABLE, IGNORES_SHUTDOWN)
        WIN32_EXIT_CODE    : 0  (0x0)
        SERVICE_EXIT_CODE  : 0  (0x0)
        CHECKPOINT         : 0x0
        WAIT_HINT          : 0x0

SERVICE_NAME: CryptSvc
DISPLAY_NAME: Cryptographic Services
        TYPE               : 10  WIN32_OWN_PROCESS
        STATE              : 4  RUNNING
                                (STOPPABLE, NOT_PAUSABLE, ACCEPTS_SHUTDOWN)
        WIN32_EXIT_CODE    : 0  (0x0)
        SERVICE_EXIT_CODE  : 0  (0x0)
        CHECKPOINT         : 0x0
        WAIT_HINT          : 0x0

SERVICE_NAME: DcomLaunch
DISPLAY_NAME: DCOM Server Process Launcher
        TYPE               : 20  WIN32_SHARE_PROCESS
        STATE              : 4  RUNNING
                                (NOT_STOPPABLE, NOT_PAUSABLE, IGNORES_SHUTDOWN)
        WIN32_EXIT_CODE    : 0  (0x0)
        SERVICE_EXIT_CODE  : 0  (0x0)
        CHECKPOINT         : 0x0
        WAIT_HINT          : 0x0

SERVICE_NAME: DeviceAssociationService
DISPLAY_NAME: Device Association Service
        TYPE               : 30  WIN32
        STATE              : 4  RUNNING
                                (STOPPABLE, NOT_PAUSABLE, ACCEPTS_SHUTDOWN)
        WIN32_EXIT_CODE    : 0  (0x0)
        SERVICE_EXIT_CODE  : 0  (0x0)
        CHECKPOINT         : 0x0
        WAIT_HINT          : 0x0

SERVICE_NAME: DevQueryBroker
DISPLAY_NAME: DevQuery Background Discovery Broker
        TYPE               : 30  WIN32
        STATE              : 4  RUNNING
                                (STOPPABLE, NOT_PAUSABLE, ACCEPTS_SHUTDOWN)
        WIN32_EXIT_CODE    : 0  (0x0)
        SERVICE_EXIT_CODE  : 0  (0x0)
        CHECKPOINT         : 0x0
        WAIT_HINT          : 0x0

SERVICE_NAME: Dhcp
DISPLAY_NAME: DHCP Client
        TYPE               : 30  WIN32
        STATE              : 4  RUNNING
                                (STOPPABLE, NOT_PAUSABLE, ACCEPTS_SHUTDOWN)
        WIN32_EXIT_CODE    : 0  (0x0)
        SERVICE_EXIT_CODE  : 0  (0x0)
        CHECKPOINT         : 0x0
        WAIT_HINT          : 0x0

SERVICE_NAME: DiagTrack
DISPLAY_NAME: Connected User Experiences and Telemetry
        TYPE               : 10  WIN32_OWN_PROCESS
        STATE              : 4  RUNNING
                                (STOPPABLE, NOT_PAUSABLE, ACCEPTS_PRESHUTDOWN)
        WIN32_EXIT_CODE    : 0  (0x0)
        SERVICE_EXIT_CODE  : 0  (0x0)
        CHECKPOINT         : 0x0
        WAIT_HINT          : 0x0

SERVICE_NAME: DispBrokerDesktopSvc
DISPLAY_NAME: Display Policy Service
        TYPE               : 30  WIN32
        STATE              : 4  RUNNING
                                (STOPPABLE, NOT_PAUSABLE, IGNORES_SHUTDOWN)
        WIN32_EXIT_CODE    : 0  (0x0)
        SERVICE_EXIT_CODE  : 0  (0x0)
        CHECKPOINT         : 0x0
        WAIT_HINT          : 0x0

SERVICE_NAME: DisplayEnhancementService
DISPLAY_NAME: Display Enhancement Service
        TYPE               : 30  WIN32
        STATE              : 4  RUNNING
                                (STOPPABLE, NOT_PAUSABLE, IGNORES_SHUTDOWN)
        WIN32_EXIT_CODE    : 0  (0x0)
        SERVICE_EXIT_CODE  : 0  (0x0)
        CHECKPOINT         : 0x0
        WAIT_HINT          : 0x0

SERVICE_NAME: Dnscache
DISPLAY_NAME: DNS Client
        TYPE               : 10  WIN32_OWN_PROCESS
        STATE              : 4  RUNNING
